#,Name,Type,Protoform Utility,Velocity Ability,Clash Power,Clash Defense,AP Cost,Max Energy Pips,Rarity,Wall Breaker,Knockback,Wall Maker,Bridge Maker,AOE Blast,Hazard Maker,Causes Blind,Causes Snare,Causes Shock,Causes Jam,Pierces Walls,Causes Chain,Ricochets,Ultra Fast,Causes Invisible,Causes Fear,Causes Confusion,Trail Wall,Clash Tripled,Cone Blast,Spawns Pods,Mirage Decoy,Star Wall,Anchor Zone
11,Fandango,Energy,Has an aura of energy that allows other slugs to recover quicker and last longer in duels before misfiring,"Morphs into a glowing chronomancer that rattles whoever it hits -- for the next 3 of their own turns, that target's own shots have a real chance of firing a complete 180 off target, not just a small miss.",6,4,2,8,7,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
12,Firenzar,Fire,Leaves glowing trail marks that stay hot for several minutes to track back through cold caverns.,"Transforms into a blazing reptilian speedster that streaks across the battlefield, leaving walls of fire behind and scorching targets with high-velocity drive-by strikes.",4,4,2,10,4,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
13,Flaringo,Fire,"Emits a bright, glowing flame from its head that can illuminate dark caverns, ignite campfires or fuses, and thaw frozen locks without expending energy pips.","Transforms into a blazing firebird that streaks straight at a single target, dealing fire damage on impact and leaving a wall of flame burning along the entire path it flew.",4,4,2,10,5,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
14,Flatulorhinkus,Toxic,"Releases tiny, harmless puffs of foul-smelling gas to deter small creatures or clear personal space.","Transforms into a bloated, gas-emitting creature that sprays dense, noxious clouds of paralyzing or blinding stink-gas across a wide radius.",3,5,2,8,3,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
15,Flopper,None,"Squirts a harmless drop of water or flops around uselessly, offering mild moral support or serving as a distraction.","Fails to transform at velocity, flying through the air as a squishy slug before bouncing harmlessly off targets with a wet slapping sound.",1,1,1,6,1,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
16,Forgesmelter,Fire,Generates extreme localized heat capable of welding broken metal or rapidly heating tools.,"Morphs into a colossal molten-iron beast that spews streams of liquid magma, melts enemy equipment, and creates pools of burning slag.",5,6,3,6,6,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
17,Frightgeist,Dark,Distorts nearby light and shadows to spook wild animals or send eerie signals.,"Morphs into a phantom-like terror that passes through solid objects, projecting terrifying spectral illusions -- whoever it hits spends their entire next turn fleeing, sprinting up to 3 AP worth of movement straight away from where the shot came from.",6,3,2,8,5,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
18,Frostcrawler,Ice,"Instantly cools water, freezes small puddles into footholds, or chills rations.","Morphs into a spiky ice beast that fires razor-sharp icicles, flash-freezes targets in thick glaciers, and constructs giant ice walls.",5,6,2,10,4,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
19,Gazzer,Air,Emits tiny puffs of gas that cause mild giggling or lightheadedness.,"Transforms into a floating gaseous entity that sprays dense hysterical-laughing gas across the battlefield, leaving opponents completely unable to fight.",3,4,2,8,3,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
20,Geoshard,Earth,Creates small decorative quartz-like crystals on surfaces to reflect light.,Transforms into a heavily armored crystal entity that shoots razor-sharp glass projectiles and constructs reflective crystal shields that bounce beam attacks back at attackers.,5,8,2,8,5,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
21,Grenuke,Fire,Generates low-frequency ticking vibrations to signal danger or test structural stability.,"Transforms into a massive bio-nuclear ordnance beast that triggers a massive, high-impact explosion upon contact, obliterating obstacles and heavy armor.",6,2,3,2,5,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
22,Hexlet,Dark,"Causes minor unlucky glitches in nearby electronics, like flickering lights or faulty sensors.","Morphs into a shadowy, hexing entity that fires curse bolts that jinx the target's blaster mechanism, whether the shot lands or not -- their next shot misfires.",3,5,2,8,6,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
23,Hop Rock,Earth,"Generates small, controlled micro-blasts useful for cracking nuts or starting small rockslides.","Morphs into a heavy, cluster-bomb creature that bounces wildly across the terrain before detonating into multiple explosive shrapnel fragments.",5,3,2,8,4,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
24,Hoverbug,Air,"Creates light breezes to clear smoke, dust, or cool down companions while hovering in place.","Morphs into a winged insectoid creature capable of generating gale-force wind gusts, lifting allies across chasms, and deflecting incoming slug shots.",3,6,2,10,3,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
25,Hypnogrif,Psychic,Emits low-frequency waves that make nearby creatures feel calm or drowsy.,"Morphs into a winged, hypnotic beast that projects powerful mental waves, hypnotizing opponents, causing confusion, or putting targets into a deep trance.",3,5,2,8,5,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
26,Infurnus,Fire,"Produces small controlled flames for lighting torches, warming allies, or welding small metal objects.","Transforms into a flaming phoenix-like creature that spews high-heat lava streams, creates fiery barriers, and flies at extreme speeds.",5,5,3,8,6,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
27,Jellyish,Unique,"Produces small droplets of non-toxic adhesive, perfect for quick makeshift repairs.","Morphs into an amorphous, jelly-like creature that launches massive globs of sticky slime to immobilize opponents and cushion heavy falls.",3,7,2,10,4,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
28,Lariat,Unique,Extends a sticky tongue to grab small objects from out-of-reach places like a quick grappling hook.,"Morphs into a frog-like creature with an elastic, high-tensile tongue that snatches enemy blasters, yanks opponents toward it, or swings allies across wide gaps.",3,5,2,10,5,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
29,Lavalynx,Fire,Radiates high ambient heat to melt ice or heat metal tools rapidly.,"Transforms into a feline magma beast that spits molten lava rivers, consumes surrounding thermal energy, and leaves pools of burning magma.",4,4,2,8,5,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
30,Makobreaker,Metal,"Uses its hardened, razor-sharp head-crest to slice through thin metals or score stone.",Transforms into a giant armored land-shark that tunnels through rock and earth before lunging with crushing jaws to snap enemy defenses.,8,7,3,8,6,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
31,Mimkey,Unique,Intelligenty mocks enemies,"When transformed does almost no damage, unless it is shot as a counter, it takes the shape of the oposing slug and cancels each other out.",1,10,1,10,10,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
32,Narwhaddle,Ice,Uses its small frozen horn to chip away at ice buildup or poke holes in soft materials.,"Morphs into a horned aquatic beast that rams through obstacles with a massive ice drill-horn, creating freezing shockwaves on impact.",4,5,2,10,4,TRUE,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
33,Negashade,Dark,"Absorbs ambient light around itself, creating small pockets of pitch-black shadow for concealment.","Morphs into a shadowy draconic phantom that smothers the target in complete darkness -- blinded, their next attack roll suffers disadvantage -- and leaves a lingering pocket of dark terrain behind.",5,4,3,6,6,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
34,Neotox,Toxic,Secretes tiny drops of corrosive fluid to dissolve rust or weaken small fasteners.,Morphs into a reptilian toxic beast that sprays melting acid pools and clouds of paralyzing neurotoxic gas across the target area.,5,3,2,8,4,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
35,Phosphora,Light,Glows intensely like a high-powered lantern to illuminate dark subterranean caverns.,"Transforms into a blinding light entity that fires high-intensity laser beams and flashbangs targets, causing temporary blindness.",2,3,2,8,5,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
36,Pieper,Psychic,Emits high-pitched chirps that can mimic simple sounds or distract small subterranean critters.,"Transforms into a siren-like creature that emits mesmerizing sonic frequencies, controlling the movements of nearby wild slugs and forcing them to follow its command.",2,4,2,8,5,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
37,Polero,Metal,Wraps its split tail around small objects to carry them or hang from overhead beams.,"Transforms into a bola-like creature that splits mid-flight to bind an enemy's limbs with unbreakable energy tethers, snaring them in place for two of their own turns.",3,5,2,10,4,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
38,Rammstone,Earth,"Crushes small stones, digs footholds into soft earth, or wedges small openings open.","Transforms into a heavily armored, quadrupedal ram beast capable of smashing through solid granite walls and creating shockwaves.",7,7,3,8,5,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
39,Sand Angler,Earth,"Softens small patches of soil or sand, making digging easier.","Transforms into a burrowing sand-beast that whips up a blinding sandstorm -- the target's next attack roll suffers disadvantage -- and buries their legs in quicksand, unable to Move for two of their own turns.",4,4,2,8,4,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
40,Slicksilver,Metal,Attracts small metallic items like keys or loose bolts with a low-grade magnetic field.,"Transforms into a metallic entity that generates a massive electromagnetic pulse, pulling or repelling heavy metal objects and frying the target's blaster electronics -- whether the shot lands or not, their next shot misfires.",5,5,2,8,5,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
41,Slyren,Psychic,Hums a quiet lullaby that induces mild drowsiness in small creatures.,"Transforms into a winged siren creature that projects powerful, harmonious sound waves, putting entire groups of targets into a deep, uninterrupted sleep -- a full skipped turn for everyone caught in the blast.",3,4,3,6,6,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
42,Speedstinger,Metal,Moves at incredible speeds over short distances to retrieve dropped tools or scout ahead unnoticed.,"Transforms into a sleek, armored runner capable of ricocheting off wall surfaces at blinding speeds to strike from unpredictable angles.",6,3,2,10,5,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
43,Tazerling,Electricity,"Acts as a portable battery to jumpstart machinery, charge power packs, or produce mild static sparks.","Morphs into an electrified reptilian creature that discharges chain lightning to a nearby second target and delivers a paralyzing shock on a hit, skipping the target's next turn entirely.",6,4,2,10,4,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
44,Thresher,Metal,Cuts through thin ropes or vines using its sharp head-fin.,"Morphs into a razor-toothed, shark-like organism with spinning blade appendages that slices through metal obstacles, armor, and stone like paper.",9,4,3,6,6,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
45,Thugglet,Psychic,Uses faint telekinesis to nudge small objects or tug on loose gear to annoy opponents.,"Transforms into an impish phantom that projects illusory duplicates of itself, jinxing an enemy's blaster so their next shot misfires. Shot at yourself instead, it turns you invisible for 1 turn -- hidden from every other player until you're hit or the turn ends.",3,5,2,8,4,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
46,Tormato,Air,"Produces small, gentle whirlwinds that clear dust, blow away light debris, or fan flames.","Morphs into a roaring air elemental that creates a violent tornado, lifting targets into the air and scattering incoming projectiles.",10,5,4,10,4,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
47,Vinedrill,Plant,"Sprouts fast-growing vines to weave temporary ropes, secure gear, or harvest hard-to-reach flora.","Morphs into a massive botanical monster that burrows root systems, entangles enemies in thorned tendrils, and unleashes paralyzing spore clouds.",4,7,2,10,4,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
48,Xmitter,Electricity,Emits minor static pulses that clear radio static or briefly disrupt digital displays.,"Transforms into a high-voltage entity that discharges a powerful electromagnetic shockwave, instantly short-circuiting the target's blaster -- whether the shot lands or not, their next shot misfires.",7,4,3,8,5,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
49,Emberblade,Fire,"When cooking from a fire made by this slug, the food quality is increased.","Transforms into a fire-sword wielding slug that cuts at it's enemies. When this slug is involved in a clash, it's power and defense are trippled and a fire wall is formed along its trajectory.",3,3,2,16,7,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
50,Frostfire,Fire,The slug can freeze and defreeze objects in a cryo stasis.,"When shooting this slug you can either deal fire damage to the target, or build an Ice wall or Ice bridge.",5,3,2,6,8,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
51,Sagebloom,Plant,This slug grows seeds on its head and hands that make for tasteful spices.,When this slug transforms its hands shoot seeds dealing high damage to the target.,7,1,3,2,3,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
52,Zeus,Electricity,"This slug can super charge equipment making htem function at 200% for an hour, but afterwards breaks the technology","This slug travels with lightning fast speed, making it near impossible to counter -- its own flight is a blur too.",10,4,4,6,9,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
53,Bladier,Metal,Shifts and hardens it's body to form a strong dagger that can be thrown or used in Melee,"Transforms to a dagger wielding projectile. On a normal attack it punches straight through the first wall in its path -- breaking it open -- and keeps flying through for a direct, full-power hit on the intended target.",3,7,2,16,6,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
54,Cybercut,Electricity,This slug can connect to electronics and hack them.,When transformed forms two electric swords that arc lightning to the closest target.,7,7,3,4,6,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
55,Graspvine,Plant,This slugs can manipulate the growth of plants to support beams or caverns to be safer,"After being transformed for a few seconds, it dives into the ground, erupting and grabbing onto other slingers preventing them from taking any action.",2,3,3,4,5,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
56,Sapheart,Healing,This slug's feces is very commonly used in medicine for its healing properties.,On landing creates a mist cloud that heals all slingers in its range.,8,1,3,6,7,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
57,Thornlash,Plant,"This slug's thorns can be plucked and used as needles, it is stronger than steel.",After transformation it shoots out spikes in a cone to deal reduced AOE damage but then still hits the target to deal damage.,7,3,2,6,8,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
58,Pressure Tick,Water,This slug can swallow water and shoot it out as steam.,"Once transformed leaves 3 steam pods in close proximity, after 1 turn they unleash a steam blast dealing damage to anyone caught in it's path.",2,4,3,12,5,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE
59,Mirage Coil,Light,This slug can create mirrage copies of themselves to confuse predators,This slug can make mirrage copies of it's slinger to confuse oponents,1,1,1,6,7,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE
